2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_5, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_6, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_7, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar06\seminar_06_8, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar06
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\hometask_08_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\hometask_08_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\hometask_08_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_4, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_5, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_6, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_7, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar08\seminar_08_8, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar08
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10, Расширение: , Каталог: True, Родительский каталог: D:\Projects\GB\GB_Python_Diving
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\hometask_10_1, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\hometask_10_2, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
2024-11-24 23:02:28,090 - Имя: D:\Projects\GB\GB_Python_Diving\seminar10\hometask_10_3, Расширение: .py, Каталог: False, Родительский каталог: D:\Projects\GB\GB_Python_Diving\seminar10
